State,Week,Weekly_Diagnoses,Weekly_Inpatient_Hospitalizations,Weekly_ED_Visits,Weekly_Outpatient,Weekly_Tests,Weekly_Positive_Tests,Weekly_Vaccine_Count,Cumulative_Vaccines,Weekly_Encounters
SC,2025-08-30,35,4,4,35,5434,26,971,2344505,43
SC,2025-09-06,34,3,7,30,5052,27,5581,2350086,43
SC,2025-09-13,44,7,4,40,4724,35,7985,2358071,54
SC,2025-09-20,33,2,7,31,4268,34,8769,2366840,41
SC,2025-09-27,39,10,5,33,4325,40,9649,2376489,50
SC,2025-10-04,30,2,5,29,4128,28,10532,2387021,38
SC,2025-10-11,36,4,7,29,4070,27,10630,2397651,40
SC,2025-10-18,29,1,4,28,3985,27,10650,2408301,32
SC,2025-10-25,50,4,6,49,4234,48,9537,2417838,63
SC,2025-11-01,43,3,13,40,4389,42,8670,2426508,57
SC,2025-11-08,90,4,15,79,5233,84,7236,2433744,102
SC,2025-11-15,119,3,25,98,5425,112,6540,2440284,134
SC,2025-11-22,247,9,64,196,5733,245,5535,2445819,278
SC,2025-11-29,243,10,61,195,4886,247,3022,2448841,275
SC,2025-12-06,401,22,92,328,6441,403,4243,2453084,447
SC,2025-12-13,907,33,220,745,7709,915,3639,2456723,1008
SC,2025-12-20,2641,121,650,2104,12563,2683,3433,2460156,2915
SC,2025-12-27,4212,248,1308,3037,16242,4337,1630,2461786,4716
SC,2026-01-03,2767,202,902,1855,12981,2688,2264,2464050,3038
SC,2026-01-10,1732,122,523,1202,10412,1605,3005,2467055,1902
SC,2026-01-17,981,64,270,717,7541,916,2522,2469577,1080
SC,2026-01-24,1282,59,314,1012,8372,1260,1719,2471296,1433
SC,2026-01-31,1045,74,294,756,6401,1029,1370,2472666,1149
SC,2026-02-07,963,64,255,732,6542,960,1292,2473958,1075
SC,2026-02-14,1202,46,284,963,7631,1205,1293,2475251,1334
